origin,horizon,source_index,target_index,method,window_length,ridge,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
0,3,178,181,local_bwar,48.0,0.1,0.10515401073679805,6.646974118442254e-11,1.0,0.0
0,3,179,182,local_bwar,48.0,0.1,0.10524972696873951,7.431375595062332e-11,1.0,0.0
0,3,180,183,local_bwar,48.0,0.1,0.09140205625413995,7.493237051940271e-11,1.0,0.0
0,3,181,184,local_bwar,48.0,0.1,0.09197800346015798,6.383840960710602e-11,1.0,0.0
0,3,182,185,local_bwar,48.0,0.1,0.08870850703986362,6.161668012922845e-11,1.0,0.0
0,3,183,186,local_bwar,48.0,0.1,0.07333387179168945,5.6011798672765696e-11,1.0,0.0
0,3,184,187,local_bwar,48.0,0.1,0.06022063431771269,6.859273023704806e-11,1.0,0.0
0,3,185,188,local_bwar,48.0,0.1,0.05289287423630171,9.129926765371926e-11,1.0,0.0
0,3,186,189,local_bwar,48.0,0.1,0.07445709184399094,1.250597622872581e-10,1.0,0.0
0,3,187,190,local_bwar,48.0,0.1,0.09288193811659957,1.2602522495138373e-10,1.0,0.0
0,3,188,191,local_bwar,48.0,0.1,0.08472662458794376,1.1970271116290268e-10,1.0,0.0
0,3,189,192,local_bwar,48.0,0.1,0.08219334413893725,1.1093065663458076e-10,1.0,0.0
0,3,190,193,local_bwar,48.0,0.1,0.08417664505395031,1.0556461770007871e-10,1.0,0.0
0,3,191,194,local_bwar,48.0,0.1,0.08375294522917764,9.240659003770794e-11,1.0,0.0
0,3,192,195,local_bwar,48.0,0.1,0.08783653495461943,9.258367307164161e-11,1.0,0.0
0,3,193,196,local_bwar,48.0,0.1,0.09370288369031919,9.609644581528959e-11,1.0,0.0
0,3,194,197,local_bwar,48.0,0.1,0.09551088988983258,9.402508367359398e-11,1.0,0.0
0,3,195,198,local_bwar,48.0,0.1,0.09726777174970007,1.1085179623043317e-10,1.0,0.0
0,3,196,199,local_bwar,48.0,0.1,0.08513801147103797,1.2759251100176161e-10,1.0,0.0
0,3,197,200,local_bwar,48.0,0.1,0.0888645342705531,1.2721233432435906e-10,1.0,0.0
0,3,198,201,local_bwar,48.0,0.1,0.08573764203375131,1.4437599285174437e-10,1.0,0.0
0,3,199,202,local_bwar,48.0,0.1,0.08899468778414388,1.2416202540512942e-10,1.0,0.0
0,3,200,203,local_bwar,48.0,0.1,0.08922061415951223,9.952064408821812e-11,1.0,0.0
0,3,201,204,local_bwar,48.0,0.1,0.0975277088081637,1.0622378088863468e-10,1.0,0.0
0,3,202,205,local_bwar,48.0,0.1,0.10378464253010643,1.05301408149784e-10,1.0,0.0
0,3,203,206,local_bwar,48.0,0.1,0.10066484251306253,9.53007220932167e-11,1.0,0.0
0,3,204,207,local_bwar,48.0,0.1,0.09864148799603638,9.056290858258525e-11,1.0,0.0
0,3,205,208,local_bwar,48.0,0.1,0.09865126844556767,9.418350385187143e-11,1.0,0.0
0,3,206,209,local_bwar,48.0,0.1,0.10424304644026966,9.77424564697266e-11,1.0,0.0
0,3,207,210,local_bwar,48.0,0.1,0.11049801564429945,8.946107904407259e-11,1.0,0.0
0,3,208,211,local_bwar,48.0,0.1,0.11225612283709092,7.853322655625132e-11,1.0,0.0
0,3,209,212,local_bwar,48.0,0.1,0.11582810445469661,7.09396336003613e-11,1.0,0.0
0,3,210,213,local_bwar,48.0,0.1,0.1127108844770201,7.577857621905595e-11,1.0,0.0
0,3,211,214,local_bwar,48.0,0.1,0.11119678428409964,7.784257769013866e-11,1.0,0.0
0,3,212,215,local_bwar,48.0,0.1,0.11193651181640867,8.471348860036515e-11,1.0,0.0
0,3,213,216,local_bwar,48.0,0.1,0.1089525745194408,8.971577976028958e-11,1.0,0.0
0,3,214,217,local_bwar,48.0,0.1,0.11072960735813286,9.043772930958577e-11,1.0,0.0
0,3,215,218,local_bwar,48.0,0.1,0.11619158336479256,9.219664042151202e-11,1.0,0.0
0,3,216,219,local_bwar,48.0,0.1,0.12934117088797714,9.565180050430346e-11,1.0,0.0
0,3,217,220,local_bwar,48.0,0.1,0.11010465297922957,1.014822187478178e-10,1.0,0.0
0,3,218,221,local_bwar,48.0,0.1,0.10373057733767008,1.0424413230494388e-10,1.0,0.0
0,3,219,222,local_bwar,48.0,0.1,0.10477344499803705,1.100482224500189e-10,1.0,0.0
0,3,220,223,local_bwar,48.0,0.1,0.11250052734575461,1.1379257337328353e-10,1.0,0.0
0,4,177,181,local_bwar,24.0,0.1,0.09845722563996157,5.4219547916106385e-11,1.0,0.0
0,4,178,182,local_bwar,24.0,0.1,0.09815387897399064,5.468124700803897e-11,1.0,0.0
0,4,179,183,local_bwar,24.0,0.1,0.09091459016117881,9.739157678321313e-10,1.0,0.0
0,4,180,184,local_bwar,24.0,0.1,0.08675298063903487,9.156377426307832e-10,1.0,0.0
0,4,181,185,local_bwar,24.0,0.1,0.08481094769696614,9.606182869187867e-10,1.0,0.0
0,4,182,186,local_bwar,24.0,0.1,0.08378532729585757,4.540174321174041e-11,1.0,0.0
0,4,183,187,local_bwar,24.0,0.1,0.09071619705132604,7.03769051433883e-11,1.0,0.0
0,4,184,188,local_bwar,24.0,0.1,0.07844321630102168,1.6890097184843776e-10,1.0,0.0
0,4,185,189,local_bwar,24.0,0.1,0.0792479608048347,3.3961041573034585e-10,1.0,0.0
0,4,186,190,local_bwar,24.0,0.1,0.07758762526575942,5.663169327523186e-10,1.0,0.0
0,4,187,191,local_bwar,24.0,0.1,0.08405369903284214,5.82168564957197e-10,1.0,0.0
0,4,188,192,local_bwar,24.0,0.1,0.07627667581039255,7.312239710168073e-10,1.0,0.0
0,4,189,193,local_bwar,24.0,0.1,0.07918082889914056,8.731063394404038e-10,1.0,0.0
0,4,190,194,local_bwar,24.0,0.1,0.08158042715429113,7.850768970677918e-10,1.0,0.0
0,4,191,195,local_bwar,24.0,0.1,0.08449727049878698,7.559820781063786e-10,1.0,0.0
0,4,192,196,local_bwar,24.0,0.1,0.08445808148693797,7.765616868295323e-10,1.0,0.0
0,4,193,197,local_bwar,24.0,0.1,0.0939244281301406,7.724068707450165e-10,1.0,0.0
0,4,194,198,local_bwar,24.0,0.1,0.08708427649860993,8.517283026958661e-10,1.0,0.0
0,4,195,199,local_bwar,24.0,0.1,0.08665321964216735,9.413343072904368e-10,1.0,0.0
0,4,196,200,local_bwar,24.0,0.1,0.0783506056954938,9.679365609318891e-10,1.0,0.0
0,4,197,201,local_bwar,24.0,0.1,0.08255743079084123,8.708066523427746e-10,1.0,0.0
0,4,198,202,local_bwar,24.0,0.1,0.08096015327440151,8.471197780571607e-10,1.0,0.0
