origin,horizon,window_length,ridge,validation_raw_rmse,validation_w2,n_validation_targets
0,3,48,0.1,0.33500402457869394,13.615138248534903,54
0,4,24,0.1,0.3263928212981331,12.894540128612746,54
0,5,24,0.1,0.3323986057557191,13.1855243953338,54
1,3,48,0.01,0.33215863817786195,14.65524337243756,54
1,4,48,0.01,0.3266623487175881,14.054785602755,54
1,5,48,0.01,0.345801591801393,14.919080186777672,54
2,3,48,0.01,0.3656646189600322,18.221732437896733,54
2,4,48,0.01,0.3399972848606115,15.900658013369972,54
2,5,48,0.01,0.34723566580969334,15.903030371325283,54
3,3,72,0.01,0.3794779393024108,16.12725688871776,54
3,4,24,0.1,0.3768815695124043,14.998982155624462,54
3,5,24,0.1,0.386670348662901,15.365680432880698,54
4,3,24,0.1,0.28035047907882504,8.212982297406041,54
4,4,24,0.1,0.29564100114844494,8.743567839018555,54
4,5,24,0.1,0.3141786680065427,9.693633974691348,54
