method,horizon,metric,mean,ci_low,ci_high,n_targets,n_origins,block_length,replicates,seed
persistence,3,raw_rmse,0.44952048667732863,0.42610557332983023,0.47293273894191035,183,5,3,10000,20260714
raw_var_window_ar,3,raw_rmse,0.6434769138924117,0.6093544045190191,0.6842182862305349,183,5,3,10000,20262732
euclidean_gaussian_ar,3,raw_rmse,0.38617263220763437,0.3567210726619034,0.41656519405012926,183,5,3,10000,20263741
cholesky_gaussian_ar,3,raw_rmse,0.3515493803566307,0.32532245231508694,0.3810049933823248,183,5,3,10000,20264750
log_euclidean_gaussian_ar,3,raw_rmse,0.36328503836451975,0.3399374992010158,0.3894072581449746,183,5,3,10000,20265759
fixed_bwar,3,raw_rmse,0.34606895175173014,0.32331136138806615,0.3693520041081974,183,5,3,10000,20266768
local_bwar,3,raw_rmse,0.3437153778288634,0.3203908028766748,0.3703537303212965,183,5,3,10000,20267777
persistence,3,w2,26.765042470009064,24.55735582133125,29.20042173993517,183,5,3,10000,20268786
raw_var_window_ar,3,w2,73.9693357941373,69.19098700721925,79.00496145161138,183,5,3,10000,20270804
euclidean_gaussian_ar,3,w2,18.10179588475851,16.351862628833437,19.944275728327348,183,5,3,10000,20271813
cholesky_gaussian_ar,3,w2,15.66998662055822,14.022101244060218,17.709623355103986,183,5,3,10000,20272822
log_euclidean_gaussian_ar,3,w2,15.989276563037293,14.358866216197862,18.05730803765565,183,5,3,10000,20273831
fixed_bwar,3,w2,13.979921286778362,12.748356191315123,15.354212593102547,183,5,3,10000,20274840
local_bwar,3,w2,14.220974173797396,12.937295665182475,15.827298410648432,183,5,3,10000,20275849
persistence,4,raw_rmse,0.46696427080215125,0.44159453924309994,0.4948822926852119,183,5,3,10000,20276858
raw_var_window_ar,4,raw_rmse,0.6519915868622085,0.6158462644916922,0.6916931891476166,183,5,3,10000,20278876
euclidean_gaussian_ar,4,raw_rmse,0.4068609327442367,0.3709844185044178,0.44692078143167646,183,5,3,10000,20279885
cholesky_gaussian_ar,4,raw_rmse,0.36260766845163495,0.3355599969495288,0.39252294508136343,183,5,3,10000,20280894
log_euclidean_gaussian_ar,4,raw_rmse,0.37995319878575956,0.3550052704212783,0.409399308484953,183,5,3,10000,20281903
fixed_bwar,4,raw_rmse,0.3494047939677938,0.3263796430123255,0.3742382991317403,183,5,3,10000,20282912
local_bwar,4,raw_rmse,0.3375237604423627,0.3146556976987698,0.36419008755721377,183,5,3,10000,20283921
persistence,4,w2,27.855091176819748,25.452527267290808,30.648645680588483,183,5,3,10000,20284930
raw_var_window_ar,4,w2,80.25647747007375,75.18497556214722,85.29459483047577,183,5,3,10000,20286948
euclidean_gaussian_ar,4,w2,20.713846690348962,18.455351042963592,23.385470212942266,183,5,3,10000,20287957
cholesky_gaussian_ar,4,w2,16.01810042395183,14.36941804820662,17.922391877160486,183,5,3,10000,20288966
log_euclidean_gaussian_ar,4,w2,17.006637796160007,15.285807490765668,19.063234710562046,183,5,3,10000,20289975
fixed_bwar,4,w2,14.110747910105353,12.840382049049387,15.503865123242198,183,5,3,10000,20290984
local_bwar,4,w2,13.460923273456403,12.223426911823482,14.878269923594688,183,5,3,10000,20291993
persistence,5,raw_rmse,0.42320957068202497,0.3963332516757218,0.4542196579532303,183,5,3,10000,20293002
raw_var_window_ar,5,raw_rmse,0.6528214775786065,0.6168000984746244,0.6929476516499934,183,5,3,10000,20295020
euclidean_gaussian_ar,5,raw_rmse,0.40211830957847944,0.37593388214953305,0.42920124735035275,183,5,3,10000,20296029
cholesky_gaussian_ar,5,raw_rmse,0.378617182946281,0.3530165981111188,0.41099100912276537,183,5,3,10000,20297038
log_euclidean_gaussian_ar,5,raw_rmse,0.3902302303144749,0.3649293368031749,0.4205505217101482,183,5,3,10000,20298047
fixed_bwar,5,raw_rmse,0.3608335205270591,0.33790766249438775,0.38798441373900017,183,5,3,10000,20299056
local_bwar,5,raw_rmse,0.34696494610747264,0.3238500209661781,0.37335416787989306,183,5,3,10000,20300065
persistence,5,w2,23.78283812235751,21.55074349978128,26.533247516587032,183,5,3,10000,20301074
raw_var_window_ar,5,w2,80.8001465541958,75.8474334130977,85.79248553037864,183,5,3,10000,20303092
euclidean_gaussian_ar,5,w2,18.282033158267954,16.618160597110798,19.91825729907579,183,5,3,10000,20304101
cholesky_gaussian_ar,5,w2,16.682812838901015,15.116971014933599,18.75268654360279,183,5,3,10000,20305110
log_euclidean_gaussian_ar,5,w2,17.846354983902465,16.14311163848053,19.89886468308141,183,5,3,10000,20306119
fixed_bwar,5,w2,14.828464139132429,13.538362576996636,16.46871549190966,183,5,3,10000,20307128
local_bwar,5,w2,13.650933252037484,12.435526974148168,14.997382961859039,183,5,3,10000,20308137
