candidate,display_dataset,dataset_label,job,window,step,dimension,dimension_arg,q_dimension,h0,horizon,method,raw_mean,raw_se,w2_mean,w2_se,n_origins
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,3,persistence,0.405381434791144,0.08057414731219548,23.303018085605178,7.179431680635084,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,3,raw_var_window_ar,0.6508564367759269,0.07244321647262124,65.62555766113076,19.436874870569547,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,3,euclidean_gaussian_ar,0.37265871967998515,0.03774244234513574,16.78322957152738,2.7587708604593426,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,3,cholesky_gaussian_ar,0.3303784076130857,0.042069661167606735,13.931518588053319,3.750888670251561,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,3,log_euclidean_gaussian_ar,0.3463218474628529,0.034356935112106995,14.121835912758351,4.014637532702898,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,3,bwar_barycenter,0.329840766748012,0.03510196671469192,12.741587921597,2.792209033851529,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,4,persistence,0.4238022708820443,0.07915758586344339,24.3793212531458,7.24789666445122,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,4,raw_var_window_ar,0.6715509569458062,0.06703386016623074,71.72840917093029,19.533281401868948,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,4,euclidean_gaussian_ar,0.37934589148425923,0.057661733161512456,18.68211141632856,4.216823400600517,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,4,cholesky_gaussian_ar,0.3451781948941925,0.03527798311893077,14.374399054960929,3.4758238577476117,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,4,log_euclidean_gaussian_ar,0.362032999862459,0.02922412440483176,14.995741937148242,4.046464063971193,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,4,bwar_barycenter,0.33563593882388315,0.030329327403741238,12.876596507700961,2.723306104676805,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,5,persistence,0.38905087864093246,0.0635371181438556,21.022117149681783,5.851898911878033,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,5,raw_var_window_ar,0.6736226241659654,0.06697564767345753,72.27761219051689,19.511190208001253,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,5,euclidean_gaussian_ar,0.37843230556555285,0.05002038164914706,16.769237378872113,3.0930530872496718,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,5,cholesky_gaussian_ar,0.363448486163289,0.030709995842234286,15.088878651395387,3.3441650201669875,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,5,log_euclidean_gaussian_ar,0.3730320550406538,0.028036426144690933,15.763011990428362,4.298756413443777,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,5,bwar_barycenter,0.34903275882722584,0.026911823480490357,13.631143567694767,2.6446090141620413,5
