target_method,comparator,horizon,metric,mean_difference,ci_low,ci_high,sensitivity_ci_low,sensitivity_ci_high,p_value,p_holm,n_targets,n_origins,block_length,sensitivity_block_length,replicates,seed
fixed_bwar,persistence,3,raw_rmse,-0.10345153492559846,-0.1276817771709759,-0.07924195536909574,-0.12787594827174595,-0.07916611464753774,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20260714
fixed_bwar,raw_var_window_ar,3,raw_rmse,-0.2974079621406815,-0.33545575516117526,-0.2635062478271477,-0.3448620705824438,-0.26791006386474975,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20261723
fixed_bwar,euclidean_gaussian_ar,3,raw_rmse,-0.040103680455904234,-0.059772532199196524,-0.021522413622922162,-0.05881283870832812,-0.020169242091080543,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20263741
fixed_bwar,cholesky_gaussian_ar,3,raw_rmse,-0.005480428604900498,-0.018975474766648074,0.005974607998361877,-0.019134479961086314,0.00836266492604843,0.24097590240975902,0.48195180481951805,183,5,3,6,10000,20264750
fixed_bwar,log_euclidean_gaussian_ar,3,raw_rmse,-0.017216086612789647,-0.02953541938217807,-0.006941302877682566,-0.03123877437264913,-0.007556098871713601,0.0017998200179982,0.0053994600539946005,183,5,3,6,10000,20265759
fixed_bwar,persistence,3,w2,-12.785121183230704,-15.046471485399742,-10.659829687462674,-15.328417177282397,-10.458071818714991,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20266768
fixed_bwar,raw_var_window_ar,3,w2,-59.98941450735893,-64.60259854167684,-55.533574360114784,-65.66710385308467,-55.353848204543866,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20267777
fixed_bwar,euclidean_gaussian_ar,3,w2,-4.1218745979801446,-5.014640699080617,-3.237636045195959,-4.978841722390126,-3.1973188696938992,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20269795
fixed_bwar,cholesky_gaussian_ar,3,w2,-1.6900653337798575,-2.7530915392503528,-0.940067172921358,-2.809578318447779,-0.850779770951019,0.0008999100089991,0.0026997300269973002,183,5,3,6,10000,20270804
fixed_bwar,log_euclidean_gaussian_ar,3,w2,-2.0093552762589315,-3.4121876744466184,-1.0356828086277954,-3.762180983184219,-1.0020624161032774,0.0030996900309969004,0.006199380061993801,183,5,3,6,10000,20271813
local_bwar,persistence,3,raw_rmse,-0.10580510884846528,-0.12972085901129943,-0.07671702683184524,-0.13551218704518891,-0.07444045303095302,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20272822
local_bwar,raw_var_window_ar,3,raw_rmse,-0.29976153606354833,-0.3447988968719463,-0.25607140909866105,-0.35635967064557217,-0.2599761937499608,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20273831
local_bwar,euclidean_gaussian_ar,3,raw_rmse,-0.042457254378771035,-0.06780306414060902,-0.014999978526679126,-0.07198575075736129,-0.01222589092442074,0.000999900009999,0.003999600039996,183,5,3,6,10000,20275849
local_bwar,cholesky_gaussian_ar,3,raw_rmse,-0.007834002527767298,-0.028786762810740447,0.013778289375307748,-0.031530492413154136,0.015181314759821759,0.23277672232776722,0.46555344465553444,183,5,3,6,10000,20276858
local_bwar,log_euclidean_gaussian_ar,3,raw_rmse,-0.019569660535656452,-0.04328663261313523,0.0037332239793945116,-0.046836105469649815,0.003762869680898295,0.0504949505049495,0.1514848515148485,183,5,3,6,10000,20277867
local_bwar,persistence,3,w2,-12.54406829621167,-14.532659747582246,-10.372012474400286,-14.987071457471849,-10.12786392181994,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20278876
local_bwar,raw_var_window_ar,3,w2,-59.74836162033991,-64.55000020381078,-54.94304498859284,-65.65173089789734,-54.786209029095566,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20279885
local_bwar,euclidean_gaussian_ar,3,w2,-3.880821710961111,-5.397556430585342,-2.2625189450155125,-5.629535917175783,-2.2000245891971746,9.999000099990002e-05,0.0005999400059994001,183,5,3,6,10000,20281903
local_bwar,cholesky_gaussian_ar,3,w2,-1.449012446760824,-2.9527015642951633,-0.13566214209438374,-3.165524276500065,-0.13762851287943864,0.0306969303069693,0.09209079092090791,183,5,3,6,10000,20282912
local_bwar,log_euclidean_gaussian_ar,3,w2,-1.7683023892398981,-3.6429290877208116,-0.15753566396499602,-4.112851639261797,-0.10965249012785981,0.031796820317968204,0.09209079092090791,183,5,3,6,10000,20283921
local_bwar,fixed_bwar,3,raw_rmse,-0.0023535739228668024,-0.02323383962261084,0.021330358466268254,-0.025921324908611137,0.021561252840107972,0.38036196380361964,0.38036196380361964,183,5,3,6,10000,20310714
local_bwar,fixed_bwar,3,w2,0.2410528870190331,-1.0688452912843387,1.6478450724212617,-1.1646933784851412,1.6568342435424952,0.6183381661833817,0.6183381661833817,183,5,3,6,10000,20311723
