station_id,training_center,training_scale
13022,3.304263565891473,7.90649864605653
WL-012,3.1763565891472867,5.74809566550705
TA1305000032,2.6763565891472867,3.906601337784426
KA1503000043,2.8882428940568476,3.7778822202659312
KA1503000071,2.9344315245478034,3.6936852321425984
13300,2.3905038759689923,5.722391330275018
TA1307000039,2.4602713178294575,3.0542634121807697
13011,2.0545865633074936,3.7450990744080612
638,2.0597545219638245,3.4735036845694114
KA1504000135,2.238049095607235,2.782696035783244
KA1503000014,2.4722222222222223,2.7455396709907887
TA1308000050,2.1094961240310077,2.8526406016951658
TA1306000009,1.9228036175710594,3.230414553310479
13042,1.7987726098191215,4.070742149285327
SL-005,1.8921188630490957,3.177153570846861
13045,2.0003229974160206,2.632472118825987
13341,1.799095607235142,3.2856589502912934
TA1306000016,1.9011627906976745,2.67245953974743
TA1307000151,1.847545219638243,2.7757510183111602
LF-005,1.5116279069767442,4.2188048549538815
TA1309000066,1.6379198966408268,3.0826842080239083
TA1306000010,1.7128552971576227,3.0422163334271883
13008,1.7367571059431524,3.3048422426034225
TA1305000006,1.6356589147286822,3.294787954725854
TA1307000117,1.7777777777777777,2.5639817270937235
TA1305000011,1.643733850129199,2.7659590038209156
KA1504000076,1.919250645994832,2.2771341653367787
TA1307000134,1.6434108527131783,2.4521470303777115
13001,1.6459948320413436,2.7006082633772257
13146,1.5381136950904393,2.5977966329654354
