method,horizon,w2_mean,w2_se,covariance_mean,covariance_se
Persistence,1,25.881,2.394,13.913,1.292
Persistence,3,29.165,1.731,15.553,0.883
Persistence,6,23.672,1.243,13.237,0.739
Euclidean,1,12.448,0.574,7.207,0.434
Euclidean,3,13.355,0.401,7.439,0.185
Euclidean,6,13.748,0.431,7.583,0.149
Cholesky,1,11.381,0.431,6.209,0.289
Cholesky,3,12.963,0.712,7.048,0.522
Cholesky,6,13.596,0.800,7.432,0.560
Log-Euclidean,1,11.940,0.635,6.768,0.563
Log-Euclidean,3,13.945,0.995,8.029,0.823
Log-Euclidean,6,14.649,1.017,8.484,0.834
BWAR,1,10.597,0.408,5.425,0.211
BWAR,3,12.513,0.551,6.597,0.324
BWAR,6,13.137,0.645,6.973,0.387
