design,seed,n,d,phi,dispersion,fit_end,val_end,test_end,ar_model,method,generating_coordinate,q_total,q_cov,n_active_mean,n_active_diag,n_active_offdiag,reference_condition,mean_dispersion,spectral_shell_low,spectral_shell_high,generator_transport_clip_rate,generator_shell_clip_rate,ridge,val_w2_mean,test_w2_mean,test_w2_median,test_w2_q90,test_mean_component,test_cov_component,n_test_pairs,min_pred_eig,w2_ratio_to_persistence,cov_ratio_to_persistence,mean_ratio_to_persistence
Baseline,0,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,,0.42572673584331416,0.3897906219760724,,,0.0016221468745212973,0.38816847510155117,112,0.04999999999999854,1.0,1.0,1.0
Baseline,0,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.01,0.41635369295581404,0.38299142230851907,0.3534349273126725,0.6018015070155667,0.0028647488484033505,0.3801266734601158,112,0.13975861038667348,0.9825567900195128,0.9792827028538794,1.7660230977843794
Baseline,0,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.01,0.4292919874986254,0.3994474618448093,0.3757759756439878,0.6267346233385052,0.0028481631234758545,0.3965992987213334,112,0.13832546101612203,1.0247744284348885,1.0217194959420046,1.7557985458723397
Baseline,0,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.01,0.4133905936171315,0.38685038637047775,0.3584346134108011,0.6007277745888585,0.0029012219049131126,0.38394916446556465,112,0.1820552244704411,0.9924568846969973,0.9891302078694498,1.788507533122903
Baseline,0,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.001,0.40620150794405435,0.36728846705362145,0.35183447996123196,0.5831762850342878,0.0020044166254734866,0.3652840504281479,112,0.18578464619344287,0.9422711741796799,0.9410451230811149,1.2356566824844384
Baseline,1,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,,0.3858975380212116,0.414178079070553,,,0.0016227077688292927,0.4125553713017237,112,0.09542921514264971,1.0,1.0,1.0
Baseline,1,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.01,0.37604637491437787,0.4077668503996447,0.39480808900788894,0.6336924038789807,0.003056185662468685,0.4047106647371761,112,0.19095902151161495,0.9845205987596071,0.980985081978704,1.8833863503800066
Baseline,1,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.01,0.3970274615897207,0.4274798425106353,0.41799559477264997,0.6140227009517514,0.0030110555174765363,0.42446878699315876,112,0.23113221704493236,1.0321160488984171,1.0288771314595784,1.8555747222735435
Baseline,1,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.01,0.3864648670340181,0.4183082595484847,0.4142126421608634,0.6145224545245626,0.0030029065756985132,0.41530535297278615,112,0.23425781295055256,1.0099719919682861,1.0066657274692254,1.8505529050772764
Baseline,1,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.001,0.36942004466068334,0.3992115227724023,0.38012722235161667,0.58694763923459,0.0021130674312391145,0.3970984553411631,112,0.22238274637469996,0.9638644412767166,0.9625337178091032,1.302186057051784
Baseline,2,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,,0.37327220173734554,0.36259386861255477,,,0.0016205732021846273,0.3609732954103702,112,0.1340320821652004,1.0,1.0,1.0
Baseline,2,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.01,0.40114413518447656,0.3699201367477257,0.3617213157626107,0.5673256392415705,0.002259361125108033,0.36766077562261773,112,0.0764967263124416,1.0202051627712418,1.0185262463935036,1.3941740626478842
Baseline,2,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.01,0.4122931341993392,0.38675737361965695,0.3635082975388273,0.583336741968958,0.0022549649701825623,0.38450240864947444,112,0.21911669412240142,1.0666406883810873,1.0651824208002847,1.3914613466042371
Baseline,2,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.01,0.4053233772927398,0.38016845069987176,0.3654687966058523,0.5992503405750002,0.0023215037961945126,0.37784694690367726,112,0.18274229782096812,1.0484690547983206,1.0467448747811783,1.4325201682126978
Baseline,2,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.001,0.3851898353470347,0.36311422536995774,0.34602746994699596,0.5735355304504078,0.001793967779213526,0.36132025759074426,112,0.16797182645945538,1.0014350953020636,1.0009611851757056,1.106995831348533
Baseline,3,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,,0.3628174392596881,0.3349844899201802,,,0.0017307523722792284,0.33325373754790094,112,0.10565462386469739,1.0,1.0,1.0
Baseline,3,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.01,0.40597522587483836,0.34067309230218773,0.3237063426927168,0.499378538304354,0.0026836875361847226,0.3379894047660029,112,0.1907064036351888,1.016981688863753,1.01421039491694,1.550590124369192
Baseline,3,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.01,0.47097664317724064,0.3924621275580285,0.37909684794790793,0.6149565201122082,0.002746839902092933,0.3897152876559356,112,0.2307165227399723,1.1715829818017665,1.1694251068974704,1.5870785134187733
Baseline,3,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.01,0.40474635648081847,0.3384768068275507,0.3194881225765955,0.4781415355702031,0.002764232893121728,0.33571257393442905,112,0.18378947559039674,1.0104253092679087,1.0073782709974097,1.5971278950099077
Baseline,3,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.001,0.3786049042134863,0.32262872394798786,0.2979692010393704,0.4846484871664941,0.0020547867821944293,0.3205739371657934,112,0.19626158992087925,0.9631154087906086,0.9619515133561406,1.1872217049100329
Baseline,4,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.00625,,0.35950657885764303,0.4200733416289441,,,0.0016222210209448906,0.4184511206079992,112,0.050000000000000426,1.0,1.0,1.0
Baseline,4,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.00625,0.01,0.34552633058151444,0.4158676051002904,0.41518742562328703,0.6245628300832264,0.0030458734570051535,0.41282173164328523,112,0.11843772870908179,0.9899880899074793,0.9865470811584047,1.877594617305003
Baseline,4,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.00625,0.01,0.34780871788003287,0.4241947987394325,0.411716539464583,0.641195864726746,0.00284230463952403,0.42135249409990855,112,0.19548722213703196,1.0098112798458154,1.0069336019167392,1.7521068971652707
Baseline,4,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.00625,0.01,0.3386108739667706,0.4210250474320035,0.39674997547992835,0.6423392071898221,0.0028959028205010717,0.41812914461150236,112,0.16508728151149982,1.002265570577197,0.9992305529113436,1.7851468962067223
Baseline,4,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.00625,0.001,0.32903173326528434,0.39951585475589063,0.3940831566507873,0.6039586962110541,0.0021253056666411738,0.3973905490892496,112,0.17392998084978345,0.9510621483540553,0.9496701753644509,1.3101209016532487
Baseline,5,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0125,,0.3512698005355253,0.3528230082017802,,,0.001661578880670515,0.3511614293211097,112,0.0500000000000005,1.0,1.0,1.0
Baseline,5,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0125,0.01,0.3650553800417293,0.34115562129964166,0.31053248482441703,0.5214762061924839,0.0029099352644376872,0.33824568603520394,112,0.024535992846718327,0.9669313320534189,0.9632199262006781,1.7513073247918327
Baseline,5,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0125,0.01,0.4125923427976108,0.3681994989800784,0.33226036339592946,0.6103897698710664,0.002803325856616305,0.3653961731234621,112,0.1673629212182167,1.043581315336171,1.0405361825467905,1.687145816083705
Baseline,5,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0125,0.01,0.39487754822540067,0.34443657037703046,0.3041613910304688,0.5598106091183741,0.003058712212044634,0.3413778581649858,112,0.15548465124060334,0.9762304678839042,0.9721393913476254,1.8408468280544819
Baseline,5,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0125,0.001,0.35315424011067664,0.32816325860266293,0.2922080810438805,0.5174261363447733,0.002140984926278932,0.3260222736763841,112,0.13305126992346586,0.9301073086905537,0.9284113984462177,1.288524397598841
Baseline,6,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0125,,0.3603577422291142,0.3468880986094397,,,0.0017120384285118848,0.3451760601809279,112,0.0499999999999994,1.0,1.0,1.0
Baseline,6,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0125,0.01,0.3979455820618433,0.35812391055036613,0.3379482332882223,0.5565090405140591,0.002670479514610608,0.3554534310357556,112,1.0000001619458922e-08,1.032390306804895,1.0297742863437305,1.5598245168666025
Baseline,6,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0125,0.01,0.46177748352930625,0.3871300880461659,0.3672001402962788,0.5800704812926333,0.0025996030879224604,0.38453048495824343,112,0.16130738791251648,1.1160085618331765,1.114012613611406,1.5184256641844498
Baseline,6,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0125,0.01,0.41025196160763755,0.3563480281266519,0.325879597265757,0.5455628753302324,0.0027050150934072037,0.35364301303324464,112,0.1388770118445672,1.0272708390836525,1.0245293745107313,1.5799967152363634
Baseline,6,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0125,0.001,0.3891156759067444,0.3447170921002894,0.31743321199704044,0.5369915765351572,0.002011505293621253,0.3427055868066682,112,0.13940805612212598,0.9937414788288985,0.9928428600379622,1.174918307978441
Baseline,7,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,,0.3996977037993826,0.39679344485431106,,,0.0014522322520690034,0.39534121260224214,112,0.09721335590285184,1.0,1.0,1.0
Baseline,7,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.01,0.4104585610735579,0.39574948075041405,0.37747602555660403,0.6214156876689497,0.0029975235864399944,0.39275195716397404,112,0.09153390044402136,0.9973689986126653,0.9934505805220131,2.0640800272610704
Baseline,7,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.01,0.4156829694684063,0.4390653168375143,0.3995069270990353,0.6834578751583352,0.00301936781903529,0.436045949018479,112,0.19463691097373478,1.1065336953807894,1.102961024853208,2.079121858596364
Baseline,7,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.01,0.3884694749993688,0.42026574065770156,0.3747549945430156,0.6866190175358972,0.0030873655720313428,0.4171783750856702,112,0.19649583378573143,1.0591549485198999,1.0552362409668599,2.125944777519406
Baseline,7,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,0.001,0.38632930867865567,0.391748411787792,0.36026846631193443,0.6300460133121596,0.0021363842681479455,0.3896120275196441,112,0.21035679542770142,0.9872854929133937,0.9855082523653756,1.4711037198796728
Baseline,8,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.00625,,0.38809339662635806,0.3912412580097642,,,0.0014434214293753747,0.38979783658038886,112,0.04999999999999898,1.0,1.0,1.0
Baseline,8,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.00625,0.01,0.464764282549456,0.39733543559227147,0.3699001757890591,0.6240822719388914,0.003363654288910725,0.3939717813033608,112,0.07773475270135206,1.015576520772651,1.0107079730344044,2.3303341771545614
Baseline,8,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.00625,0.01,0.46420097500257484,0.4011256287028213,0.3824092356592336,0.6129277444966611,0.0033411454310179963,0.39778448327180327,112,0.13759626015770016,1.0252641317619176,1.0204892022015297,2.3147400773063493
Baseline,8,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.00625,0.01,0.4798047284337388,0.38727540724199166,0.37093112994550237,0.5893620939053907,0.003359513816086196,0.38391589342590554,112,0.12181645669612769,0.9898634137208668,0.9849102724476761,2.327465664369407
Baseline,8,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.00625,0.001,0.4527153510581347,0.3797101213804334,0.3538537033698378,0.5972008052181406,0.0024205773272219433,0.37728954405321147,112,0.15895293836516478,0.9705267877728707,0.9679108210632724,1.6769720041287057
Baseline,9,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.009375,,0.3739125932870244,0.35561755006116097,,,0.001600554463040087,0.3540169955981209,112,0.04999999999999903,1.0,1.0,1.0
Baseline,9,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.009375,0.01,0.39733878678197126,0.36398553659219407,0.3409946571482367,0.5469990574175468,0.0028585234559140465,0.36112701313628,112,0.17188598187693027,1.0235308592885641,1.0200838310775067,1.7859582550440538
Baseline,9,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.009375,0.01,0.39856514679347765,0.3706951908088098,0.33761318012321817,0.5397188030812653,0.0027825988158116923,0.36791259199299814,112,0.13160501689697682,1.042398472024386,1.0392512127035038,1.738521793582978
Baseline,9,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.009375,0.01,0.4065924594472812,0.3640608944869847,0.3254027455853432,0.551560794622319,0.0027496984387451145,0.3613111960482396,112,0.11252899844822059,1.0237427664196315,1.0206040968112138,1.717966181245934
Baseline,9,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.009375,0.001,0.3898276557758509,0.3433317878867314,0.3113550874645411,0.5270501912287565,0.00212011754531457,0.3412116703414168,112,0.13967138085412448,0.9654523176026701,0.9638285014111564,1.3246144347300914
Baseline,10,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,,0.359267301052018,0.38046551403415496,,,0.0014913203107116205,0.3789741937234434,112,0.09530630861472505,1.0,1.0,1.0
Baseline,10,320,8,0.7,0.15,144,208,320,full,euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.01,0.36050732392360024,0.3686673942655191,0.34957879079802123,0.580307755251964,0.002953687720303435,0.36571370654521557,112,0.13980202602034772,0.968990304420661,0.9650095246646143,1.9805857260094644
Baseline,10,320,8,0.7,0.15,144,208,320,full,cholesky_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.01,0.3744724255503787,0.37962156217990284,0.3568662352449039,0.591302951080982,0.0027151992848571125,0.37690636289504564,112,0.17289590994929843,0.9977817914551479,0.9945436104551575,1.8206680787184397
Baseline,10,320,8,0.7,0.15,144,208,320,full,log_euclidean_gaussian_ar,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.01,0.35982034647720357,0.37154660193950956,0.3625317591695813,0.5944585661977572,0.002841210437052826,0.3687053915024567,112,0.1656818890089463,0.976557896141292,0.9729036900373212,1.9051644483384471
Baseline,10,320,8,0.7,0.15,144,208,320,full,bwar_barycenter,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.0,0.001,0.34762605211389225,0.35733045156232446,0.3483732053657336,0.5628565139457475,0.0020829468431515564,0.35524750471917294,112,0.17340978518676142,0.9391927477827764,0.9373923359499644,1.3967132534778035
Baseline,11,320,8,0.7,0.15,144,208,320,full,persistence,bures_transport,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0,0.003125,,0.352601991835957,0.3613436022455904,,,0.0015963042587668803,0.35974729798682364,112,0.07597841897472966,1.0,1.0,1.0
