design,n,d,phi,dispersion,method,n_rep,w2_ratio_mean,w2_ratio_se,cov_ratio_mean,cov_ratio_se,mean_ratio_mean,mean_ratio_se,min_pred_eig
Baseline,320,8,0.7,0.15,bwar_barycenter,80,0.9601134457708907,0.003802095137551305,0.9584979732218105,0.0037932809577858047,1.3341331195517998,0.023813472661485154,0.11917028779056799
Baseline,320,8,0.7,0.15,cholesky_gaussian_ar,80,1.0428387472316425,0.004885504270025459,1.0396156135271397,0.004890650244636948,1.7918297049947323,0.029791538543469536,0.11539179178758291
Baseline,320,8,0.7,0.15,euclidean_gaussian_ar,80,0.9973969709927186,0.004013216943046159,0.9938702805038124,0.004007938568291987,1.8161230529088943,0.0313264261441346,1.0000001619458922e-08
Baseline,320,8,0.7,0.15,log_euclidean_gaussian_ar,80,1.0000788282008157,0.004044629281947791,0.9965720264553177,0.004044042118135131,1.812894032419278,0.031551382677317955,0.11252899844822059
Baseline,320,8,0.7,0.15,persistence,80,1.0,0.0,1.0,0.0,1.0,0.0,0.049999999999998185
Cholesky mechanism,320,8,0.7,0.15,bwar_barycenter,80,0.9763218785765982,0.003964102140768526,0.9723839303083965,0.003935407110725083,1.2597219475631516,0.022202618495825843,0.1875031953102888
Cholesky mechanism,320,8,0.7,0.15,cholesky_gaussian_ar,80,0.9585831862573955,0.003673826776861914,0.9533645102449697,0.0036759991193197773,1.3290204222823758,0.02222022617239238,0.16221175328789575
Cholesky mechanism,320,8,0.7,0.15,euclidean_gaussian_ar,80,0.990572644550301,0.004562537537560817,0.9836275583479106,0.004459379015547496,1.4835286718833105,0.02931399689296663,0.18805849779495454
Cholesky mechanism,320,8,0.7,0.15,log_euclidean_gaussian_ar,80,0.9678596272049859,0.004217037968875739,0.9620341915560573,0.0041659291875070495,1.3818854085799743,0.02324535878926142,0.16072867267232516
Cholesky mechanism,320,8,0.7,0.15,persistence,80,1.0,0.0,1.0,0.0,1.0,0.0,0.10776365996872227
Higher dimension,320,10,0.7,0.12,bwar_barycenter,80,1.0333682431067654,0.004763301440016075,1.0308999998372286,0.00476304710274066,1.4622707250168527,0.01840167207948674,0.12856957887645504
Higher dimension,320,10,0.7,0.12,cholesky_gaussian_ar,80,1.1052880162489702,0.005491923103413069,1.1008922620648072,0.005499280449187188,1.8676990428784286,0.026393357576422846,0.1578618278288779
Higher dimension,320,10,0.7,0.12,euclidean_gaussian_ar,80,1.0612803212201058,0.004835005619344393,1.0563130175152629,0.004834438955281047,1.9229777876615521,0.02766979450623673,0.06160076596811385
Higher dimension,320,10,0.7,0.12,log_euclidean_gaussian_ar,80,1.0680440758786445,0.005382538942197668,1.0631709814442725,0.0053824572179864616,1.912996248725769,0.027132451734832367,0.13585636432430953
Higher dimension,320,10,0.7,0.12,persistence,80,1.0,0.0,1.0,0.0,1.0,0.0,0.05078240186621748
Larger variation,320,8,0.7,0.18,bwar_barycenter,80,0.9620450274749708,0.004165891698051566,0.960856939456648,0.0041550387485161915,1.3541110044351496,0.02438324899372716,0.08953490204668832
Larger variation,320,8,0.7,0.18,cholesky_gaussian_ar,80,1.0689209791162761,0.005449751117061894,1.066649543209225,0.005454756613250105,1.821236228465498,0.0303778194628102,0.08640806278107348
Larger variation,320,8,0.7,0.18,euclidean_gaussian_ar,80,1.0163206375956368,0.004218246149581105,1.0138305560483902,0.0042159474685865535,1.8397055634474342,0.031881635151357286,9.999999340015324e-09
Larger variation,320,8,0.7,0.18,log_euclidean_gaussian_ar,80,1.020986060800469,0.0041977539974144135,1.0184885491156648,0.004199577943573198,1.8454856270045454,0.031107471033576948,0.08803061717353505
Larger variation,320,8,0.7,0.18,persistence,80,1.0,0.0,1.0,0.0,1.0,0.0,0.049999999999998254
Log-Euclidean mechanism,320,8,0.7,0.15,bwar_barycenter,80,0.9750924310850614,0.004487106362754256,0.9724294791869894,0.004418720569331903,1.117877701032787,0.022864985244129672,0.24795570121884244
Log-Euclidean mechanism,320,8,0.7,0.15,cholesky_gaussian_ar,80,0.971649753252932,0.003840758321423542,0.9648878991416294,0.0038390634794075442,1.3335776289477126,0.020194792069503496,0.25475605708501314
Log-Euclidean mechanism,320,8,0.7,0.15,euclidean_gaussian_ar,80,0.9789708604975813,0.004556186172855608,0.9710107095757972,0.004428808675543174,1.4046868967246133,0.02677127162599865,0.20144576279741963
Log-Euclidean mechanism,320,8,0.7,0.15,log_euclidean_gaussian_ar,80,0.9586392843976285,0.0038136756481400194,0.9518840330367985,0.003805366800800394,1.3202711494731783,0.023020531499240684,0.25095810336404784
Log-Euclidean mechanism,320,8,0.7,0.15,persistence,80,1.0,0.0,1.0,0.0,1.0,0.0,0.18588239175646004
Shorter series,200,8,0.7,0.15,bwar_barycenter,80,1.0659858952438728,0.008747128021646865,1.0637564815804397,0.008752492575167851,1.6005430418770188,0.03299510826768452,0.13970184661102147
Shorter series,200,8,0.7,0.15,cholesky_gaussian_ar,80,1.1288687969522582,0.008741708456756727,1.1253530145904505,0.008764647178940165,1.9667385545157434,0.03651325914188336,0.10953206631985055
Shorter series,200,8,0.7,0.15,euclidean_gaussian_ar,80,1.0937862386491186,0.009259803218361635,1.09004558681958,0.009310498411443437,1.9834931087283025,0.038410433393935406,9.999999791365259e-09
Shorter series,200,8,0.7,0.15,log_euclidean_gaussian_ar,80,1.0960152113751733,0.00885355392220952,1.0922256068754483,0.008894924162312221,1.9982512531893337,0.0378025419081177,0.08856573342449106
Shorter series,200,8,0.7,0.15,persistence,80,1.0,0.0,1.0,0.0,1.0,0.0,0.04999999999999874
Weaker dynamics,320,8,0.5,0.15,bwar_barycenter,80,0.8316910262079432,0.0031875145685419243,0.8310243218282432,0.003191716580977001,0.9908995812598868,0.013395506465232764,0.17086549784344912
Weaker dynamics,320,8,0.5,0.15,cholesky_gaussian_ar,80,0.8736329418717329,0.004334669127651515,0.8728370997010438,0.004349552882175172,1.0632549604712758,0.013312492433792665,0.15433176625018255
Weaker dynamics,320,8,0.5,0.15,euclidean_gaussian_ar,80,0.8522333382123431,0.0032990916302032443,0.8513278412046681,0.0033084078839040365,1.0670188672212075,0.013628600021603718,0.07471780465293196
Weaker dynamics,320,8,0.5,0.15,log_euclidean_gaussian_ar,80,0.856827638496279,0.0036099688572250803,0.8559338269577129,0.003618839622330516,1.0681019002298153,0.013315043130817624,0.15819667831147294
Weaker dynamics,320,8,0.5,0.15,persistence,80,1.0,0.0,1.0,0.0,1.0,0.0,0.049999999999998934
