regime,movement_control,horizon,method,test_w2_mean
mean_reverting,0.7,1,fixed,0.04392019495435742
mean_reverting,0.7,3,fixed,0.3062479721066813
mean_reverting,0.7,6,fixed,0.6829800812163902
mean_reverting,0.8,1,fixed,0.05650932382538869
mean_reverting,0.8,3,fixed,0.40547489055720054
mean_reverting,0.8,6,fixed,0.9092593955590254
mean_reverting,0.9,1,fixed,0.07139370118760133
mean_reverting,0.9,3,fixed,0.526274274752769
mean_reverting,0.9,6,fixed,1.1858183205715842
mean_reverting,1.0,1,fixed,0.0887531019182714
mean_reverting,1.0,3,fixed,0.6710773354534628
mean_reverting,1.0,6,fixed,1.519679309790564
persistent,0.0,1,fixed,0.041431778666818575
persistent,0.0,3,fixed,0.36294390739015847
persistent,0.0,6,fixed,1.2590784470867578
persistent,0.75,1,local,0.055812131085259134
persistent,0.75,3,local,0.4647216118735561
persistent,0.75,6,local,1.5493733018472944
persistent,1.5,1,local,0.06397124327774174
persistent,1.5,3,local,0.5376068587734631
persistent,1.5,6,local,1.7997296295352434
persistent,2.0,1,local,0.06736381819114624
persistent,2.0,3,local,0.560896092589364
persistent,2.0,6,local,1.904208053299547
